Index,timestamp,signals,open,high,low,close,volume
0,2018-01-01 17:30:00,1,13220.56,13300.0,13056.23,13172.42,260.492708
1,2018-01-02 03:30:00,-1,13494.99,13599.7,13450.96,13452.0,303.301385
2,2018-01-02 11:30:00,1,13166.95,13338.66,13041.5,13255.98,722.310035
3,2018-01-02 16:30:00,-1,13566.5,13573.0,13401.05,13490.0,684.54165
4,2018-01-03 16:30:00,1,14455.55,14771.84,14200.0,14730.05,793.92939
5,2018-01-03 22:30:00,-1,15011.0,15057.2,14779.83,14800.0,389.080093
6,2018-01-04 03:30:00,1,14926.96,14949.0,14799.64,14799.91,260.659165
7,2018-01-04 06:30:00,-1,14765.65,15179.0,14649.99,15172.12,1181.627263
8,2018-01-04 14:30:00,1,14221.05,14410.05,13918.04,14299.01,1121.48775
9,2018-01-04 22:30:00,-1,14469.97,14648.89,14400.97,14648.89,865.628274
10,2018-01-05 13:30:00,1,14916.95,15450.0,14880.0,15424.81,949.347149
11,2018-01-05 14:30:00,-1,15429.6,16111.0,15429.6,15880.39,1397.016119
12,2018-01-06 10:30:00,1,16477.49,16750.0,16422.43,16642.84,471.806854
13,2018-01-06 23:30:00,-1,16854.03,16929.99,16582.98,16769.89,780.126895
14,2018-01-07 10:30:00,1,16547.59,16744.94,16500.0,16564.0,698.237458
15,2018-01-07 17:30:00,-1,16611.0,16649.05,16480.0,16500.0,257.126876
16,2018-01-07 19:30:00,1,16386.0,16592.0,16376.99,16520.02,271.768469
17,2018-01-08 05:30:00,-1,16218.85,16322.3,15908.06,15948.96,581.369323
18,2018-01-08 09:30:00,1,15632.48,15840.0,15510.0,15641.01,638.906874
19,2018-01-09 02:30:00,-1,14899.7,15099.0,14758.96,14888.97,357.169686
20,2018-01-09 14:30:00,1,15190.56,15199.0,14766.0,14811.0,390.22899
21,2018-01-10 00:30:00,-1,14803.46,14863.93,14650.0,14717.82,399.711358
22,2018-01-10 04:30:00,1,14234.7,14454.95,14125.0,14400.0,800.714763
23,2018-01-10 21:30:00,-1,14399.95,14698.12,14360.11,14412.19,950.79266
24,2018-01-11 09:30:00,1,12911.92,13480.0,11400.0,13108.2,6085.367316
25,2018-01-11 17:30:00,-1,13385.1,13942.45,13282.13,13803.0,1048.002392
26,2018-01-12 02:30:00,1,13405.0,13434.56,13008.0,13379.51,915.885084
27,2018-01-12 09:30:00,-1,13854.95,13880.0,13524.69,13770.53,680.426656
28,2018-01-12 22:30:00,1,13370.0,13600.0,13250.32,13520.01,765.792875
29,2018-01-13 04:30:00,-1,13646.98,13780.05,13600.0,13740.01,413.762665
30,2018-01-14 01:30:00,1,14086.64,14213.32,14062.0,14143.0,266.46845
31,2018-01-14 07:30:00,-1,14300.2,14330.0,14130.01,14189.95,303.194315
32,2018-01-14 10:30:00,1,13629.98,13791.51,13359.07,13763.89,865.122519
33,2018-01-15 02:30:00,-1,13340.03,13395.0,13250.0,13265.0,333.336536
34,2018-01-15 11:30:00,1,13520.03,13736.4,13514.57,13730.01,438.348246
35,2018-01-15 12:30:00,-1,13730.0,13736.31,13251.0,13355.0,789.232487
36,2018-01-16 01:30:00,1,13774.97,13836.81,13556.99,13635.73,497.881665
37,2018-01-17 15:30:00,-1,10255.01,10299.92,9587.99,9709.95,2968.205485
38,2018-01-17 16:30:00,1,9709.95,10360.0,9679.38,9808.14,2681.358689
39,2018-01-18 01:30:00,-1,10366.0,11080.0,10181.89,10901.06,3956.793791
40,2018-01-18 12:30:00,1,11020.0,11021.86,10435.33,10472.97,1951.667489
41,2018-01-18 18:30:00,-1,11414.99,11690.0,11234.0,11380.0,2080.280771
42,2018-01-19 01:30:00,1,11535.0,11742.95,11413.0,11510.34,1110.05172
43,2018-01-19 13:30:00,-1,11060.0,11580.0,10950.0,11355.06,2312.341703
44,2018-01-19 23:30:00,1,11246.0,11339.46,11003.0,11185.1,1520.047553
45,2018-01-20 06:30:00,-1,11554.21,11650.93,11502.93,11639.94,831.610861
46,2018-01-20 19:30:00,1,12451.06,12700.0,12444.0,12600.04,849.798736
47,2018-01-20 22:30:00,-1,12889.0,12985.0,12722.0,12850.0,1466.374013
48,2018-01-21 06:30:00,1,12205.0,12538.08,12201.0,12508.95,1298.713847
49,2018-01-21 19:30:00,-1,11995.98,12081.99,11622.05,11679.95,1787.9423
50,2018-01-21 22:30:00,1,11180.0,11388.0,11024.0,11311.43,2351.292697
51,2018-01-22 06:30:00,-1,11750.11,11758.0,11310.0,11370.38,1161.217827
52,2018-01-22 18:30:00,1,11285.09,11299.74,10284.55,10519.97,5993.049703
53,2018-01-23 05:30:00,-1,10760.05,10888.0,10525.99,10748.11,1399.039844
54,2018-01-23 12:30:00,1,10299.99,10389.98,10108.4,10250.0,1484.061442
55,2018-01-23 21:30:00,-1,10750.0,11399.0,10740.0,11334.96,3607.628722
56,2018-01-24 06:30:00,1,10579.61,10808.0,10503.0,10563.85,1164.371397
57,2018-01-24 13:30:00,-1,10955.99,11050.2,10850.0,10875.39,703.751611
58,2018-01-25 00:30:00,1,11068.79,11285.99,11005.0,11235.28,846.399272
59,2018-01-25 05:30:00,-1,11349.96,11397.0,11275.01,11297.94,783.187417
60,2018-01-25 15:30:00,1,11373.04,11461.01,11300.01,11369.56,523.279541
61,2018-01-26 03:30:00,-1,11242.98,11332.1,11190.0,11210.0,475.020721
62,2018-01-26 14:30:00,1,10774.84,10805.43,10311.15,10490.0,2649.520237
63,2018-01-26 22:30:00,-1,11094.01,11221.59,11002.05,11187.01,1144.437659
64,2018-01-27 04:30:00,1,10832.85,11168.0,10806.02,11089.0,686.578823
65,2018-01-27 09:30:00,-1,10985.0,11126.48,10963.0,11026.5,525.993037
66,2018-01-27 18:30:00,1,11015.0,11170.0,11008.05,11091.99,541.348394
